,genome_ID,scaffold,gene_oid,locus_tag,start_coord,end_coord,clust_ID,gene_ID_string,core_whole,40_percent_ID_group,query_start,query_end,evalue,pfam_id,pfam_name,pfam_length
82,637000155,NC_007626,637820508,amb1896,2037186,2040266,65556,637820508,afp11,NA,773.0,965.0,5.5e-07,pfam04865,Baseplate_J,255.0
84,637000155,NC_007626,637820510,amb1898,2041368,2042336,65556,637820510,NA,Cluster 306,103.0,223.0,1.7e-05,pfam09684,Tail_P2_I,136.0
88,637000155,NC_007626,637820514,amb1902,2047197,2047724,65556,637820514,NA,Cluster 1706,21.0,166.0,3.7e-38,pfam05118,Asp_Arg_Hydrox,153.0
89,637000155,NC_007626,637820515,amb1903,2047721,2049856,65556,637820515,afp15,NA,498.0,624.0,1.6e-27,pfam00004,AAA,132.0
94,637000186,NC_008095,638025832,MXAN_4488,5554689,5559779,65571,638025832,NA,Cluster 1267,129.0,200.0,7.7e-12,pfam13699,DUF4157,79.0
97,637000186,NC_008095,638025835,MXAN_4491,5560529,5561563,65571,638025835,NA,Cluster 589,40.0,116.0,3.2e-09,pfam13599,Pentapeptide_4,78.0
98,637000186,NC_008095,638025835,MXAN_4491,5560529,5561563,65571,638025835,NA,Cluster 589,140.0,176.0,2.8e-10,pfam00805,Pentapeptide,40.0
99,637000186,NC_008095,638025836,MXAN_4492,5561844,5562308,65571,638025836,afp16,NA,2.0,143.0,3.3e-33,pfam14065,DUF4255,178.0
101,637000186,NC_008095,638025838,MXAN_4494,5563081,5565465,65571,638025838,afp2_3_4,NA,1.0,259.0,2.2999999999999998e-11,pfam04984,Phage_sheath_1,464.0
102,637000186,NC_008095,638025838,MXAN_4494,5563081,5565465,65571,638025838,afp2_3_4,NA,421.0,788.0,1.5e-58,pfam04984,Phage_sheath_1,464.0
103,637000186,NC_008095,638025839,MXAN_4495,5565484,5565939,65571,638025839,afp1_5,NA,9.0,144.0,8.499999999999999e-38,pfam06841,Phage_T4_gp19,134.0
104,637000186,NC_008095,638025840,MXAN_4496,5565968,5567539,65571,638025840,afp2_3_4,NA,279.0,510.0,1e-06,pfam04984,Phage_sheath_1,464.0
105,637000186,NC_008095,638025841,MXAN_4497,5567536,5568015,65571,638025841,afp1_5,NA,9.0,156.0,1.1e-34,pfam06841,Phage_T4_gp19,134.0
108,637000186,NC_008095,638025844,MXAN_4500,5569537,5570613,65571,638025844,afp8,NA,64.0,340.0,4.7e-13,pfam05954,Phage_GPD,304.0
111,637000186,NC_008095,638025847,MXAN_4503,5572854,5573255,65571,638025847,afp9,NA,29.0,121.0,9.300000000000002e-21,pfam04965,GPW_gp25,95.0
112,637000186,NC_008095,638025848,MXAN_4504,5573256,5575598,65571,638025848,afp11,NA,407.0,636.0,1e-14,pfam04865,Baseplate_J,255.0
113,637000186,NC_008095,638025849,MXAN_4505,5575598,5578018,65571,638025849,NA,Cluster 213,543.0,632.0,1.3e-07,pfam09684,Tail_P2_I,136.0
118,637000186,NC_008095,638025854,MXAN_4510,5587130,5589103,65571,638025854,afp15,NA,433.0,559.0,5.999999999999999e-24,pfam00004,AAA,132.0
119,637000186,NC_008095,638025855,MXAN_4511,5589134,5589841,65571,638025855,NA,Cluster 639,7.0,223.0,5.999999999999999e-20,pfam01872,RibD_C,200.0
120,637000186,NC_008095,640730298,MXAN_4512,5590113,5590825,65571,640730298,NA,Cluster 6187,6.0,65.0,2e-18,pfam00126,HTH_1,60.0
121,637000186,NC_008095,640730298,MXAN_4512,5590113,5590825,65571,640730298,NA,Cluster 6187,89.0,139.0,1.8e-08,pfam03466,LysR_substrate,209.0
123,637000186,NC_008095,638025857,MXAN_4514,5593616,5594743,65571,638025857,NA,Cluster 5028,2.0,196.0,1.7e-10,pfam00149,Metallophos,197.0
125,637000199,NC_003272,637233698,all3310,3991999,3994095,65581,637233698,NA,Cluster 6409,93.0,203.0,2.3e-25,pfam07715,Plug,108.0
126,637000199,NC_003272,637233698,all3310,3991999,3994095,65581,637233698,NA,Cluster 6409,464.0,697.0,5.9e-25,pfam00593,TonB_dep_Rec,236.0
127,637000199,NC_003272,637233699,alr3311,3994744,3998766,65581,637233699,NA,Cluster 2369,224.0,302.0,1.5e-30,pfam13699,DUF4157,79.0
128,637000199,NC_003272,637233699,alr3311,3994744,3998766,65581,637233699,NA,Cluster 2369,1192.0,1262.0,6.6e-11,pfam14441,OTT_1508_deam,65.0
134,637000199,NC_003272,637233705,all3317,4009956,4013651,65581,637233705,afp11,NA,916.0,1148.0,8.4e-07,pfam04865,Baseplate_J,255.0
135,637000199,NC_003272,637233706,all3318,4013700,4014149,65581,637233706,afp9,NA,29.0,133.0,2.7e-30,pfam04965,GPW_gp25,95.0
136,637000199,NC_003272,637233707,all3319,4014151,4014453,65581,637233707,afp10,NA,21.0,91.0,7.8e-22,pfam05488,PAAR_motif,69.0
140,637000199,NC_003272,637233711,all3323,4017399,4017902,65581,637233711,afp1_5,NA,8.0,164.0,4.1999999999999997e-50,pfam06841,Phage_T4_gp19,134.0
141,637000199,NC_003272,637233712,all3324,4017914,4018345,65581,637233712,afp1_5,NA,7.0,139.0,7.6e-45,pfam06841,Phage_T4_gp19,134.0
142,637000199,NC_003272,637233713,all3325,4018460,4019914,65581,637233713,afp2_3_4,NA,99.0,480.0,4.7e-31,pfam04984,Phage_sheath_1,464.0
144,637000199,NC_003272,637233715,all3327,4021240,4021818,65581,637233715,afp16,NA,4.0,187.0,2.1e-34,pfam14065,DUF4255,178.0
145,637000199,NC_003272,637233716,all3328,4022295,4023059,65581,637233716,NA,Cluster 6261,169.0,250.0,9.8e-27,pfam07689,KaiB,82.0
146,637000199,NC_003272,637233717,all3329,4023220,4024518,65581,637233717,NA,Cluster 5618,85.0,352.0,1.6e-47,pfam00437,T2SSE,277.0
148,637000199,NC_003272,637233719,alr3331,4025732,4027900,65581,637233719,NA,Cluster 6253,25.0,200.0,2.2999999999999997e-24,pfam00270,DEAD,175.0
149,637000199,NC_003272,637233719,alr3331,4025732,4027900,65581,637233719,NA,Cluster 6253,241.0,357.0,5.4e-13,pfam00271,Helicase_C,105.0
151,637000207,NC_005126,640738711,plu1645,1964393,1965296,65594,640738711,NA,Cluster 2076,86.0,131.0,7.5e-07,pfam00045,Hemopexin,45.0
152,637000207,NC_005126,640738711,plu1645,1964393,1965296,65594,640738711,NA,Cluster 2076,179.0,284.0,1e-42,pfam07472,PA-IIL,107.0
153,637000207,NC_005126,637463456,plu1646,1965347,1966231,65594,637463456,NA,Cluster 6802,104.0,258.0,5.2999999999999986e-77,pfam13612,DDE_Tnp_1_3,155.0
155,637000207,NC_005126,637463457,plu1648,1966541,1967338,65594,637463457,afp13,NA,92.0,115.0,7.5e-05,pfam07484,Collar,57.0
159,637000207,NC_005126,637463461,plu1652,1970859,1971761,65594,637463461,afp16,NA,13.0,190.0,6.8e-33,pfam14065,DUF4255,178.0
160,637000207,NC_005126,637463462,plu1653,1971785,1973884,65594,637463462,afp15,NA,493.0,619.0,1.2999999999999999e-27,pfam00004,AAA,132.0
162,637000207,NC_005126,637463464,plu1655,1975922,1977139,65594,637463464,afp13,NA,233.0,256.0,2.7000000000000002e-05,pfam07484,Collar,57.0
166,637000207,NC_005126,637463468,plu1659,1983763,1984254,65594,637463468,afp9,NA,52.0,143.0,1.5e-21,pfam04965,GPW_gp25,95.0
167,637000207,NC_005126,637463469,plu1660,1984267,1985868,65594,637463469,afp8,NA,49.0,335.0,1.1999999999999999e-11,pfam05954,Phage_GPD,304.0
170,637000207,NC_005126,637463472,plu1663,1986711,1987169,65594,637463472,afp1_5,NA,9.0,146.0,1.3000000000000002e-28,pfam06841,Phage_T4_gp19,134.0
171,637000207,NC_005126,637463473,plu1664,1987183,1988418,65594,637463473,afp2_3_4,NA,172.0,404.0,7.8e-17,pfam04984,Phage_sheath_1,464.0
172,637000207,NC_005126,637463474,plu1665,1988466,1989899,65594,637463474,afp2_3_4,NA,212.0,474.0,6.9999999999999994e-37,pfam04984,Phage_sheath_1,464.0
173,637000207,NC_005126,637463475,plu1666,1989911,1990993,65594,637463475,afp2_3_4,NA,98.0,357.0,8.399999999999999e-30,pfam04984,Phage_sheath_1,464.0
174,637000207,NC_005126,637463476,plu1667,1991047,1991496,65594,637463476,afp1_5,NA,15.0,145.0,1.1e-34,pfam06841,Phage_T4_gp19,134.0
176,637000207,NC_005126,637463478,plu1669,1992245,1993171,65594,637463478,NA,Cluster 180,8.0,210.0,1.1999999999999997e-88,pfam04754,Transposase_31,204.0
177,637000207,NC_005126,640738713,plu1670,1993272,1993598,65594,640738713,NA,Cluster 1408,20.0,95.0,5.5e-16,pfam15656,Tox-HDC,119.0
178,637000207,NC_005126,637463479,plu1671,1993599,1994573,65594,637463479,NA,Cluster 1896,43.0,324.0,0.0,pfam15634,Tox-ART-HYE1,282.0
182,637000207,NC_005126,637463481,plu1675,1996912,1998996,65594,637463481,afp15,NA,488.0,614.0,2.8e-27,pfam00004,AAA,132.0
184,637000207,NC_005126,637463483,plu1677,2000742,2001773,65594,637463483,afp13,NA,168.0,211.0,0.00011,pfam07484,Collar,57.0
188,637000207,NC_005126,637463487,plu1681,2007980,2008426,65594,637463487,afp9,NA,37.0,129.0,2e-19,pfam04965,GPW_gp25,95.0
189,637000207,NC_005126,637463488,plu1682,2008439,2010040,65594,637463488,afp8,NA,39.0,335.0,1.8e-09,pfam05954,Phage_GPD,304.0
192,637000207,NC_005126,637463491,plu1685,2010883,2011341,65594,637463491,afp1_5,NA,9.0,146.0,4e-28,pfam06841,Phage_T4_gp19,134.0
193,637000207,NC_005126,637463492,plu1686,2011377,2012552,65594,637463492,afp2_3_4,NA,138.0,384.0,3.4000000000000004e-17,pfam04984,Phage_sheath_1,464.0
194,637000207,NC_005126,637463493,plu1687,2012608,2013993,65594,637463493,afp2_3_4,NA,232.0,458.0,1.1999999999999998e-36,pfam04984,Phage_sheath_1,464.0
195,637000207,NC_005126,637463494,plu1688,2014005,2015087,65594,637463494,afp2_3_4,NA,99.0,357.0,1.3e-30,pfam04984,Phage_sheath_1,464.0
196,637000207,NC_005126,637463495,plu1689,2015263,2015712,65594,637463495,afp1_5,NA,15.0,145.0,2.3e-35,pfam06841,Phage_T4_gp19,134.0
199,637000207,NC_005126,637463498,plu1692,2018792,2019694,65594,637463498,afp16,NA,13.0,189.0,1.4e-32,pfam14065,DUF4255,178.0
200,637000207,NC_005126,637463499,plu1693,2019719,2021785,65594,637463499,afp15,NA,482.0,608.0,1.9e-27,pfam00004,AAA,132.0
202,637000207,NC_005126,637463501,plu1695,2023536,2024561,65594,637463501,NA,Cluster 1949,28.0,85.0,3e-07,pfam13551,HTH_29,65.0
203,637000207,NC_005126,637463501,plu1695,2023536,2024561,65594,637463501,NA,Cluster 1949,93.0,152.0,1.3999999999999999e-24,pfam13592,HTH_33,60.0
204,637000207,NC_005126,637463501,plu1695,2023536,2024561,65594,637463501,NA,Cluster 1949,163.0,308.0,2.2e-33,pfam13358,DDE_3,146.0
209,637000207,NC_005126,637463506,plu1700,2031878,2032369,65594,637463506,afp9,NA,52.0,143.0,1.5e-21,pfam04965,GPW_gp25,95.0
210,637000207,NC_005126,637463507,plu1701,2032382,2033983,65594,637463507,afp8,NA,44.0,335.0,2e-09,pfam05954,Phage_GPD,304.0
213,637000207,NC_005126,637463510,plu1704,2034826,2035284,65595,637463510,afp1_5,NA,9.0,146.0,1.5e-27,pfam06841,Phage_T4_gp19,134.0
214,637000207,NC_005126,637463511,plu1705,2035298,2036503,65595,637463511,afp2_3_4,NA,185.0,394.0,1.9e-17,pfam04984,Phage_sheath_1,464.0
215,637000207,NC_005126,637463512,plu1706,2036552,2038036,65595,637463512,afp2_3_4,NA,91.0,491.0,4.4e-35,pfam04984,Phage_sheath_1,464.0
216,637000207,NC_005126,637463513,plu1707,2038048,2039124,65595,637463513,afp2_3_4,NA,97.0,355.0,2.2e-29,pfam04984,Phage_sheath_1,464.0
217,637000207,NC_005126,637463514,plu1708,2039178,2039627,65595,637463514,afp1_5,NA,15.0,145.0,3.8999999999999994e-36,pfam06841,Phage_T4_gp19,134.0
220,637000207,NC_005126,637463516,plu1711,2040655,2041677,65595,637463516,NA,Cluster 294,8.0,210.0,8.5e-80,pfam04754,Transposase_31,204.0
224,637000207,NC_005126,637463520,plu1715,2045078,2045980,65595,637463520,afp16,NA,13.0,189.0,2.4999999999999998e-31,pfam14065,DUF4255,178.0
225,637000207,NC_005126,637463521,plu1716,2046005,2048089,65595,637463521,afp15,NA,488.0,614.0,2.8e-27,pfam00004,AAA,132.0
227,637000207,NC_005126,637463523,plu1718,2049818,2051122,65595,637463523,afp13,NA,264.0,287.0,3.7e-05,pfam07484,Collar,57.0
231,637000207,NC_005126,637463527,plu1722,2057383,2058102,65595,637463527,afp9,NA,128.0,220.0,1.2999999999999998e-19,pfam04965,GPW_gp25,95.0
232,637000207,NC_005126,637463528,plu1723,2058115,2059716,65595,637463528,afp8,NA,49.0,335.0,2.4e-09,pfam05954,Phage_GPD,304.0
235,637000207,NC_005126,637463531,plu1726,2060559,2061017,65595,637463531,afp1_5,NA,9.0,146.0,3.1e-30,pfam06841,Phage_T4_gp19,134.0
236,637000207,NC_005126,637463532,plu1727,2061031,2062215,65595,637463532,afp2_3_4,NA,141.0,386.0,2.5e-19,pfam04984,Phage_sheath_1,464.0
237,637000207,NC_005126,637463533,plu1728,2062264,2063655,65595,637463533,afp2_3_4,NA,222.0,460.0,3.8e-37,pfam04984,Phage_sheath_1,464.0
238,637000207,NC_005126,637463534,plu1729,2063667,2064731,65595,637463534,afp2_3_4,NA,87.0,351.0,3e-31,pfam04984,Phage_sheath_1,464.0
239,637000207,NC_005126,637463535,plu1730,2064746,2065195,65595,637463535,afp1_5,NA,15.0,145.0,4.1999999999999994e-35,pfam06841,Phage_T4_gp19,134.0
240,637000207,NC_005126,637463536,plu1731,2065881,2067668,65595,637463536,NA,Cluster 812,454.0,566.0,2.4e-08,pfam07591,PT-HINT,137.0
241,637000207,NC_005126,637463537,plu1732,2068346,2068918,65595,637463537,NA,Cluster 227,11.0,36.0,3.3e-06,pfam13544,N_methyl_2,26.0
242,637000207,NC_005126,637463537,plu1732,2068346,2068918,65595,637463537,NA,Cluster 227,46.0,189.0,1.2e-49,pfam08805,PilS,138.0
243,637000207,NC_005126,637463538,plu1733,2069076,2069870,65595,637463538,NA,Cluster 423,19.0,113.0,5.1e-29,pfam06750,DiS_P_DiS,81.0
244,637000207,NC_005126,637463538,plu1733,2069076,2069870,65595,637463538,NA,Cluster 423,123.0,233.0,3.4e-22,pfam01478,Peptidase_A24,107.0
245,637000207,NC_005126,637463539,plu1734,2069910,2071085,65595,637463539,NA,Cluster 1582,12.0,365.0,2.3999999999999998e-11,pfam04917,Shufflon_N,356.0
246,637000207,NC_005126,637464160,plu2381,2795907,2796536,65598,637464160,NA,Cluster 663,100.0,189.0,2.2e-18,pfam04205,FMN_bind,69.0
247,637000207,NC_005126,637464161,plu2382,2796533,2797231,65598,637464161,NA,Cluster 318,4.0,200.0,2.1999999999999998e-65,pfam02508,Rnf-Nqr,174.0
248,637000207,NC_005126,637464162,plu2383,2797233,2797871,65598,637464162,NA,Cluster 210,34.0,169.0,4.3e-20,pfam00730,HhH-GPD,108.0
249,637000207,NC_005126,637464162,plu2383,2797233,2797871,65598,637464162,NA,Cluster 210,187.0,203.0,0.0001,pfam10576,EndIII_4Fe-2S,17.0
250,637000207,NC_005126,637464163,plu2384,2798011,2799954,65598,637464163,NA,Cluster 122,24.0,81.0,2.6e-18,pfam08206,OB_RNB,58.0
251,637000207,NC_005126,637464163,plu2384,2798011,2799954,65598,637464163,NA,Cluster 122,192.0,520.0,8.299999999999999e-87,pfam00773,RNB,324.0
252,637000207,NC_005126,637464163,plu2384,2798011,2799954,65598,637464163,NA,Cluster 122,561.0,643.0,8.199999999999999e-09,pfam00575,S1,75.0
253,637000207,NC_005126,637464164,plu2385,2800483,2800932,65598,637464164,afp1_5,NA,15.0,145.0,2.0999999999999997e-35,pfam06841,Phage_T4_gp19,134.0
254,637000207,NC_005126,637464165,plu2386,2801006,2802082,65598,637464165,afp2_3_4,NA,99.0,354.0,1.1000000000000001e-27,pfam04984,Phage_sheath_1,464.0
255,637000207,NC_005126,637464166,plu2387,2802140,2803432,65598,637464166,afp2_3_4,NA,117.0,426.0,1.1999999999999998e-33,pfam04984,Phage_sheath_1,464.0
256,637000207,NC_005126,637464167,plu2388,2803487,2804653,65598,637464167,afp2_3_4,NA,99.0,385.0,5e-20,pfam04984,Phage_sheath_1,464.0
257,637000207,NC_005126,637464168,plu2389,2804672,2805130,65598,637464168,afp1_5,NA,9.0,146.0,5.500000000000001e-28,pfam06841,Phage_T4_gp19,134.0
260,637000207,NC_005126,637464171,plu2392,2805973,2807577,65598,637464171,afp8,NA,37.0,336.0,4.7999999999999996e-11,pfam05954,Phage_GPD,304.0
261,637000207,NC_005126,637464172,plu2393,2807590,2808012,65598,637464172,afp9,NA,29.0,120.0,9.000000000000001e-21,pfam04965,GPW_gp25,95.0
266,637000207,NC_005126,637464177,plu2398,2817105,2819186,65598,637464177,afp15,NA,487.0,613.0,2.8999999999999997e-27,pfam00004,AAA,132.0
267,637000207,NC_005126,637464178,plu2399,2819211,2820113,65598,637464178,afp16,NA,13.0,190.0,1.7999999999999998e-31,pfam14065,DUF4255,178.0
268,637000207,NC_005126,637464179,plu2400,2820328,2822034,65598,637464179,NA,Cluster 249,73.0,136.0,4.7e-25,pfam11647,PMT_C,70.0
269,637000207,NC_005126,637464180,plu2401,2822311,2823282,65598,637464180,NA,Cluster 255,105.0,321.0,2.999999999999999e-68,pfam03543,Peptidase_C58,204.0
270,637000207,NC_005126,640738753,plu2402,2823444,2823635,65598,640738753,NA,Cluster 3596,1.0,49.0,6.4e-15,pfam01526,DDE_Tnp_Tn3,390.0
271,637000207,NC_005126,637464181,plu2403,2823827,2824297,65598,637464181,NA,Cluster 3351,3.0,137.0,2e-33,pfam00334,NDK,135.0
272,637000207,NC_005126,637464283,plu2512,2955621,2956586,65599,637464283,NA,Cluster 5170,3.0,228.0,1.6e-24,pfam01370,Epimerase,241.0
273,637000207,NC_005126,637464284,plu2513,2956589,2957974,65599,637464284,NA,Cluster 1491,5.0,460.0,0.0,pfam02447,GntP_permease,441.0
275,637000207,NC_005126,637464286,plu2515,2959713,2960654,65599,637464286,NA,Cluster 189,100.0,235.0,1.4999999999999997e-81,pfam16374,CIF,136.0
276,637000207,NC_005126,637464287,plu2516,2960783,2961679,65599,637464287,afp16,NA,13.0,185.0,1.6999999999999998e-30,pfam14065,DUF4255,178.0
277,637000207,NC_005126,637464288,plu2517,2961704,2963788,65599,637464288,afp15,NA,488.0,614.0,2.5e-27,pfam00004,AAA,132.0
279,637000207,NC_005126,637464290,plu2519,2965716,2966972,65599,637464290,afp13,NA,251.0,280.0,3.4e-05,pfam07484,Collar,57.0
283,637000207,NC_005126,637464294,plu2523,2973221,2973637,65599,637464294,afp9,NA,29.0,120.0,4.7e-22,pfam04965,GPW_gp25,95.0
284,637000207,NC_005126,637464295,plu2524,2973651,2975252,65599,637464295,afp8,NA,21.0,335.0,7.1e-08,pfam05954,Phage_GPD,304.0
287,637000207,NC_005126,637464298,plu2527,2976095,2976553,65599,637464298,afp1_5,NA,9.0,146.0,2.8e-28,pfam06841,Phage_T4_gp19,134.0
288,637000207,NC_005126,637464299,plu2528,2976567,2977763,65599,637464299,afp2_3_4,NA,145.0,389.0,2.8000000000000005e-17,pfam04984,Phage_sheath_1,464.0
